epoch,accuracy,loss
8,0.890625,0.16171205043792725
9,0.890625,0.16372716426849365
0,0.875,0.21072253584861755
1,0.875,0.19720453023910522
2,0.875,0.19018259644508362
3,0.859375,0.1980127990245819
4,0.859375,0.18771108984947205
5,0.859375,0.18374142050743103
6,0.859375,0.18796074390411377
7,0.859375,0.18950492143630981
8,0.859375,0.1838461011648178
9,0.859375,0.18110966682434082
0,0.890625,0.2002805769443512
1,0.890625,0.18679863214492798
2,0.890625,0.1924324333667755
3,0.890625,0.18718194961547852
4,0.890625,0.17741477489471436
5,0.875,0.17935556173324585
6,0.90625,0.18366023898124695
7,0.890625,0.17754285037517548
8,0.875,0.17357540130615234
9,0.890625,0.17752134799957275
0,0.90625,0.2451106756925583
1,0.90625,0.22874486446380615
2,0.90625,0.227068230509758
3,0.90625,0.2305576652288437
4,0.875,0.2250012755393982
5,0.859375,0.21854478120803833
6,0.90625,0.22215746343135834
7,0.90625,0.22381818294525146
8,0.90625,0.2187652587890625
9,0.90625,0.2150750458240509
0,0.890625,0.23821276426315308
1,0.890625,0.22703833878040314
2,0.890625,0.22874316573143005
3,0.890625,0.226017564535141
4,0.890625,0.21544156968593597
5,0.890625,0.2140890657901764
6,0.890625,0.2190854251384735
7,0.890625,0.21562254428863525
8,0.890625,0.21171264350414276
9,0.890625,0.21516293287277222
0,0.90625,0.1957108974456787
1,0.90625,0.18462318181991577
2,0.890625,0.18220989406108856
3,0.90625,0.18203195929527283
4,0.90625,0.1773998886346817
5,0.90625,0.17555391788482666
6,0.90625,0.17766615748405457
7,0.90625,0.17670118808746338
8,0.890625,0.1740528643131256
9,0.90625,0.17313823103904724
0,0.890625,0.27399587631225586
1,0.890625,0.25913792848587036
2,0.890625,0.25805795192718506
3,0.890625,0.25912559032440186
4,0.890625,0.25130003690719604
5,0.890625,0.2475103884935379
6,0.890625,0.2513856291770935
7,0.890625,0.2503790259361267
8,0.890625,0.24735479056835175
9,0.890625,0.24667152762413025
0,0.890625,0.20347583293914795
1,0.890625,0.19162064790725708
2,0.890625,0.19467505812644958
3,0.890625,0.19985978305339813
4,0.890625,0.19337761402130127
5,0.890625,0.18534287810325623
6,0.890625,0.18721415102481842
7,0.890625,0.19032742083072662
8,0.890625,0.18809497356414795
9,0.890625,0.18696379661560059
0,0.9375,0.2041248381137848
1,0.9375,0.18887799978256226
2,0.9375,0.19078674912452698
3,0.9375,0.19655928015708923
4,0.9375,0.19207116961479187
